ID,App Category,Grouped Category
1,Music & Audio,Entertainment & Music
2,Productivity,Utilities
3,Shopping,Shopping
4,Game,Games & Comics
5,Comics,Games & Comics
6,Business,Others
7,House & Home,Others
8,Beauty,Health & Wellness
9,Social,Social & Communication
10,Tools,Utilities
11,Finance,Shopping
12,Lifestyle,Utilities
13,Weather,Utilities
14,Communication,Social & Communication
15,Education,Education
16,Entertainment,Entertainment & Music
17,Books & Reference,Education
18,Maps & Navigation,Travel
19,Health & Fitness,Health & Wellness
20,Photography,Art & Design & Photo
21,Dating,Social & Communication
22,Travel & Local,Travel
23,News & Magazines,News & Magazine
24,Food & Drink,Food & Drink
25,Art & Design,Art & Design & Photo
26,Video Players & Editors,Entertainment & Music
27,Libraries & Demo,Unknown & Background
28,Unknown Or Background,Unknown & Background
29,Personalization,Unknown & Background
30,Educational,Games & Comics
31,Word,Games & Comics
32,Role Playing,Games & Comics
33,Board,Games & Comics
34,Sports,Games & Comics
35,Simulation,Games & Comics
36,Arcade,Games & Comics
37,Action,Games & Comics
38,Adventure,Games & Comics
39,Music,Games & Comics
40,Racing,Games & Comics
41,Strategy,Games & Comics
42,Card,Games & Comics
43,Casino,Games & Comics
44,Casual,Games & Comics
45,Trivia,Games & Comics
46,Puzzle,Games & Comics
,,